Entity,Code,Day,total_vaccinations_per_hundred
Afghanistan,AFG,2021-02-22,0
Afghanistan,AFG,2021-02-28,0.02
Afghanistan,AFG,2021-03-16,0.13
Afghanistan,AFG,2021-04-07,0.29
Afghanistan,AFG,2021-04-22,0.58
Afghanistan,AFG,2021-05-11,1.23
Afghanistan,AFG,2021-05-20,1.33
Afghanistan,AFG,2021-05-24,1.39
Afghanistan,AFG,2021-05-26,1.44
Afghanistan,AFG,2021-05-27,1.44
Afghanistan,AFG,2021-05-30,1.46
Afghanistan,AFG,2021-06-02,1.52
Afghanistan,AFG,2021-06-03,1.53
Afghanistan,AFG,2021-06-08,1.56
Afghanistan,AFG,2021-06-14,1.61
Afghanistan,AFG,2021-06-22,1.86
Afghanistan,AFG,2021-06-27,2.03
Afghanistan,AFG,2021-06-30,2.16
Afghanistan,AFG,2021-07-05,2.23
Afghanistan,AFG,2021-07-07,2.27
Afghanistan,AFG,2021-07-11,2.34
Afghanistan,AFG,2021-07-14,2.49
Afghanistan,AFG,2021-07-18,2.66
Afghanistan,AFG,2021-07-24,2.85
Afghanistan,AFG,2021-08-20,2.92
Afghanistan,AFG,2021-08-31,4.81
Afghanistan,AFG,2021-09-30,5.76
Afghanistan,AFG,2021-11-14,9.77
Afghanistan,AFG,2021-12-27,11.37
Afghanistan,AFG,2022-01-09,11.92
Afghanistan,AFG,2022-01-11,11.97
Afghanistan,AFG,2022-01-13,12.05
Afghanistan,AFG,2022-01-17,12.12
Afghanistan,AFG,2022-01-19,12.17
Afghanistan,AFG,2022-01-24,12.27
Afghanistan,AFG,2022-01-26,12.34
Afghanistan,AFG,2022-01-27,12.35
Afghanistan,AFG,2022-01-31,12.46
Afghanistan,AFG,2022-02-02,12.53
Afghanistan,AFG,2022-02-07,12.68
Afghanistan,AFG,2022-02-14,12.94
Afghanistan,AFG,2022-02-20,13.16
Afghanistan,AFG,2022-02-27,13.46
Afghanistan,AFG,2022-03-06,13.61
Afghanistan,AFG,2022-03-17,13.93
Afghanistan,AFG,2022-03-22,13.98
Afghanistan,AFG,2022-04-04,14.28
Afghanistan,AFG,2022-04-14,14.44
Afghanistan,AFG,2022-04-18,14.46
Afghanistan,AFG,2022-04-26,14.55
Afghanistan,AFG,2022-04-27,14.55
Afghanistan,AFG,2022-05-05,14.64
Afghanistan,AFG,2022-05-08,14.65
Afghanistan,AFG,2022-05-10,14.66
Afghanistan,AFG,2022-05-15,14.75
Afghanistan,AFG,2022-05-23,14.88
Afghanistan,AFG,2022-06-01,15.01
Afghanistan,AFG,2022-06-15,15.31
Afghanistan,AFG,2022-06-21,15.45
Afghanistan,AFG,2022-06-27,15.58
Afghanistan,AFG,2022-06-30,15.67
Afghanistan,AFG,2022-07-10,15.78
Afghanistan,AFG,2022-07-17,16.31
Afghanistan,AFG,2022-07-19,19.17
Afghanistan,AFG,2022-07-27,19.55
Afghanistan,AFG,2022-08-07,23.88
Afghanistan,AFG,2022-08-15,27.27
Afghanistan,AFG,2022-08-22,27.7
Afghanistan,AFG,2022-08-31,28.11
Afghanistan,AFG,2022-09-04,28.18
Afghanistan,AFG,2022-09-11,28.51
Afghanistan,AFG,2022-09-12,28.53
Afghanistan,AFG,2022-09-19,28.74
Afghanistan,AFG,2022-09-26,28.86
Afghanistan,AFG,2022-09-28,28.89
Afghanistan,AFG,2022-10-04,28.99
Afghanistan,AFG,2022-10-11,29.06
Afghanistan,AFG,2022-10-16,29.12
Afghanistan,AFG,2022-10-24,29.31
Afghanistan,AFG,2022-11-01,29.43
Afghanistan,AFG,2022-11-02,29.52
Afghanistan,AFG,2022-11-08,29.6
Afghanistan,AFG,2022-11-15,29.67
Afghanistan,AFG,2022-11-16,29.7
Afghanistan,AFG,2022-11-27,29.85
Afghanistan,AFG,2022-12-05,29.92
Afghanistan,AFG,2022-12-22,30.27
Afghanistan,AFG,2023-01-06,30.46
Afghanistan,AFG,2023-01-16,30.64
Afghanistan,AFG,2023-01-22,30.81
Afghanistan,AFG,2023-01-29,30.84
Afghanistan,AFG,2023-02-12,31.05
Afghanistan,AFG,2023-02-14,31.09
Afghanistan,AFG,2023-02-19,33.08
Afghanistan,AFG,2023-02-23,33.82
Afghanistan,AFG,2023-02-26,35.85
Afghanistan,AFG,2023-02-28,36.7
Afghanistan,AFG,2023-03-05,38.82
Afghanistan,AFG,2023-03-12,39.51
Afghanistan,AFG,2023-03-14,39.51
Afghanistan,AFG,2023-03-19,40.06
Afghanistan,AFG,2023-03-21,40.08
Afghanistan,AFG,2023-03-26,40.11
Afghanistan,AFG,2023-03-28,40.12
Afghanistan,AFG,2023-04-02,40.33
Afghanistan,AFG,2023-04-09,40.42
Afghanistan,AFG,2023-04-11,40.59
Afghanistan,AFG,2023-04-16,40.67
Afghanistan,AFG,2023-04-18,40.91
Afghanistan,AFG,2023-04-24,40.95
Afghanistan,AFG,2023-04-25,40.96
Afghanistan,AFG,2023-04-30,41.1
Afghanistan,AFG,2023-05-03,41.14
Afghanistan,AFG,2023-05-09,41.24
Afghanistan,AFG,2023-05-14,41.48
Afghanistan,AFG,2023-05-16,41.62
Afghanistan,AFG,2023-05-21,42.5
Afghanistan,AFG,2023-05-29,44.82
Afghanistan,AFG,2023-06-06,47.93
Afghanistan,AFG,2023-06-11,48.63
Afghanistan,AFG,2023-06-13,48.66
Afghanistan,AFG,2023-06-18,49.22
Afghanistan,AFG,2023-06-20,49.42
Afghanistan,AFG,2023-06-27,49.58
Afghanistan,AFG,2023-07-04,49.75
Afghanistan,AFG,2023-07-09,49.78
Afghanistan,AFG,2023-07-11,49.93
Afghanistan,AFG,2023-07-18,49.98
Afghanistan,AFG,2023-07-23,50.03
Afghanistan,AFG,2023-07-25,50.24
Afghanistan,AFG,2023-07-30,50.4
Afghanistan,AFG,2023-08-01,50.55
Afghanistan,AFG,2023-08-06,50.66
Afghanistan,AFG,2023-08-08,50.76
